usuario_id,piso,habitacion,reporte,tipo_dano,fecha,estado,respuesta,fecha_creacion,fecha_respuesta,respondido_por
5,5,UCI 2,Solicito su amable colaboración con revisión de timbre uci plena 2; quinto piso ya que no esta funcionando.,Daño Fisico,2021/01/05 00:00:00,Finalizada,Se valida en el servicio y se va a la habitación reportada y no presenta falla.,2021/01/07 00:00:00,2021/01/07 00:00:00,5
5,2,OBS 39,El motivo de la presente es para reportar sobre que no funciona timbre de la cama 36; 39,Timbre Arrancado,2021/01/06 00:00:00,Finalizada,Se revisa y se encuentra desconectado de la base,2021/01/07 00:00:00,2021/01/07 00:00:00,5
5,2,OBS 36,El motivo de la presente es para reportar sobre que no funciona timbre de la cama 36; 39,Daño Fisico,2021/01/06 00:00:00,Finalizada,Se revisa y se encuentra desconectado de la base,2021/01/07 00:00:00,2021/01/07 00:00:00,5
5,2,OBS 36,Solciito de su colaboracion para que se arrglen los timbre de obs 36 y obs 39 de segundo piso; segunda fase; ya que no funcionan.,Timbre Arrancado,2021/01/07 00:00:00,Finalizada,Se revisa y se encuentra desconectado de la base,2021/01/07 00:00:00,2021/01/07 00:00:00,5
5,2,OBS 39,Solciito de su colaboracion para que se arrglen los timbre de obs 36 y obs 39 de segundo piso; segunda fase; ya que no funcionan.,Timbre Arrancado,2021/01/07 00:00:00,Finalizada,Se revisa y se encuentra desconectado de la base,2021/01/07 00:00:00,2021/01/07 00:00:00,5
5,6,607,"Se encuentra timbre con los cables rotos.
Se realiza soldadura y se instalan funcionales nuevamente",Daño Fisico,2021/01/10 00:00:00,Finalizada,SISTEMAS,2021/01/07 00:00:00,2021/01/07 00:00:00,5
5,7,701B,"BUENOS DIAS
PARA REPORTAR QUE EL DIA DE 10-01
-2021 SE RECIBE TURNO Y NO SE
ENCUNTRA TIMBRE DISFUNCIONAL
DE LA CAMA 701 B PARA QUE POR
FAVOR LO ARREGLEN
GRACIAS",Timbre No Funciona,2021/01/12 00:00:00,Finalizada,"Se realiza validación del caso y se encuentra
Que jalaron el pulsador; provocando la
Rotura de los puntos de soldadura.

Se realiza reparación soldando nuevamente
Los cables a los puertos correspondientes.
Se realiza pruebas de funcionamiento de
Forma exitosa.",2021/01/14 00:00:00,2021/01/14 00:00:00,5
5,6,602A,POR  FAVOR  SOLICITO SOPORTE PARA VERIFICACION DE FUNCIONAMIENTO TIMBRE HABITACIONES 602A Y 607 YA QUE NO FUNCIONA ALERTA AUDITIVA PARA LLAMADO DE ENFERMERIA,Timbre Arrancado,2021/01/12 00:00:00,Finalizada,Se realiza la reparacion del timbre y hacen pruebas y se deja operativo,2021/01/12 00:00:00,2021/01/12 00:00:00,5
5,6,607,POR  FAVOR  SOLICITO SOPORTE PARA VERIFICACION DE FUNCIONAMIENTO TIMBRE HABITACIONES 602A Y 607 YA QUE NO FUNCIONA ALERTA AUDITIVA PARA LLAMADO DE ENFERMERIA,Timbre No Funciona,2021/01/12 00:00:00,Finalizada,Se realiza la reparacion del timbre y hacen pruebas y se deja operativo,2021/01/12 00:00:00,2021/01/12 00:00:00,5
5,2,OBS 42,solicito de su colaboracion para que se arregle el timbre del obs 42; ya que no funciona.,Timbre Arrancado,2021/01/14 00:00:00,Finalizada,Se evidencia fractura en la pasta del timbre; se cambia y se deja operativo.,2021/01/15 00:00:00,2021/01/15 00:00:00,5
